PcanvID,SymbolID,MUX,Name,UNIT,OutputFormat,DataType,Factor,Offset,BitStart,BitLength,DataFormat,DisplayMode,Minimum,Maximum,DefaultValue,VALKey,EffectiveDate,EndDate,IsActive,LastUpdate,AdjBitStart,StartBucket,EndBucket
1,3221225472,,PCcz_usi_UltraSonic_mm,,,,1.00000000,.00000000,0,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.223000000,0,1,1
2,3221225472,,New_Signal_1550,,,,1.00000000,.00000000,0,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.230000000,0,1,1
3,3221225472,,New_Signal_1549,,,,1.00000000,.00000000,0,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.233000000,0,1,1
4,2566816016,,PCcz_usi_InputE_kWh,,,,.10000000,.00000000,32,32,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.240000000,32,5,8
5,2566816016,,PCcz_usi_InputP_kw,,,,-.00100000,.00000000,0,32,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.247000000,0,1,4
6,2566815760,,PCcz_usi_InputI_a,,,,1.00000000,.00000000,32,32,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.257000000,32,5,8
7,2566815760,,PCcz_usi_InputV_v,,,,1.00000000,.00000000,0,32,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.260000000,0,1,4
8,2566787601,,UltraI_Sect_Accum,,,,1.00000000,.00000000,16,16,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.270000000,16,3,4
9,2566787601,,UltraI_Err,,,,1.00000000,.00000000,32,16,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.273000000,32,5,6
10,2566787601,,UltraI_Accum,,,,1.00000000,.00000000,0,16,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.277000000,0,1,2
11,2566853392,,PCcz_usi_DistCheck,,,,2.00000000,.00000000,32,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.283000000,32,5,5
12,2566853392,,PCcz_usi_HeightStore,,,,2.00000000,.00000000,24,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.290000000,24,4,4
13,2566853392,,PCcz_usi_DockMode,,,,1.00000000,.00000000,8,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.293000000,8,2,2
14,2566853392,,PCcz_usi_BPilot,,,,1.00000000,.00000000,16,8,1,,.0000,255.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.297000000,16,3,3
15,2566853392,,PCcz_usi_BIsoValue_v,,,,1.00000000,.00000000,0,8,1,,.0000,255.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.300000000,0,1,1
16,2566787600,,PCcz_usi_DistCheck,,,,2.00000000,.00000000,32,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.310000000,32,5,5
17,2566787600,,PCcz_usi_HeightStore,,,,2.00000000,.00000000,24,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.313000000,24,4,4
18,2566787600,,PCcz_usi_DockMode,,,,1.00000000,.00000000,8,8,1,,.0000,.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.317000000,8,2,2
19,2566787600,,PCcz_usi_APilot,,,,1.00000000,.00000000,16,8,1,,.0000,255.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.323000000,16,3,3
20,2566787600,,PCcz_usi_AIsoValue_v,,,,1.00000000,.00000000,0,8,1,,.0000,255.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.327000000,0,1,1
21,2566787856,,PCcz_en_CmdBESMRate,,,,1.00000000,.00000000,4,4,1,,.0000,15.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.337000000,4,1,1
22,2566787856,,PCcz_usi_ArmBUltrasonic_mm,,,,4.00000000,.00000000,8,8,1,,.0000,1020.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.343000000,8,2,2
23,2566787856,,PCcz_en_ChgrStatusArmBID,,,,1.00000000,.00000000,0,4,1,,.0000,15.0000,,,2013-01-01,2020-12-12,True,2014-06-18 15:06:27.350000000,0,1,1
